message_id,chat_id,text,sender,timestamp,images
msg_017,chat_1705953600000_ghi789,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-13T15:00:00Z,
msg_018,chat_1705953600000_ghi789,"My seat is broken and won't recline properly.",user,2024-01-13T15:05:00Z,
msg_019,chat_1705953600000_ghi789,"I understand your concern. Let me help you document this issue properly. Could you provide more details about when this occurred?",ai,2024-01-13T15:06:00Z,
msg_020,chat_1705953600000_ghi789,"It's seat 12A and it's been broken since takeoff.",user,2024-01-13T15:08:00Z,
msg_021,chat_1705953600000_ghi789,"I can see the images you've uploaded. I'm analyzing them to help with your report. Could you describe what these images show?",ai,2024-01-13T15:10:00Z,
msg_022,chat_1705953600000_ghi789,"The seat back is stuck and won't move at all.",user,2024-01-13T15:12:00Z,
msg_023,chat_1706040000000_jkl012,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-12T10:00:00Z,
msg_024,chat_1706040000000_jkl012,"The tray table in my seat is broken and won't fold down.",user,2024-01-12T10:05:00Z,
msg_025,chat_1706040000000_jkl012,"I understand your concern. Let me help you document this issue properly. Could you provide more details about when this occurred?",ai,2024-01-12T10:06:00Z,
msg_026,chat_1706040000000_jkl012,"It's seat 15C and the tray table is completely stuck.",user,2024-01-12T10:08:00Z,
msg_027,chat_1706040000000_jkl012,"I can see the images you've uploaded. I'm analyzing them to help with your report. Could you describe what these images show?",ai,2024-01-12T10:10:00Z,
msg_028,chat_1706040000000_jkl012,"Uploaded 1 image(s)",user,2024-01-12T10:11:00Z,"[{""uri"":""https://firebasestorage.googleapis.com/v0/b/adsp-34002-ip07-visionary-ai.firebasestorage.app/o/report-images%2Fbroken-tray.png?alt=media&token=789eafcf-f6e8-4bb9-9456-131ac02b9883"",""width"":800,""height"":600}]"
msg_029,chat_1706040000000_jkl012,"The tray table is hanging down and won't stay up or fold properly.",user,2024-01-12T10:12:00Z,
msg_030,chat_1706040000000_jkl012,"I've noted this in your report. Based on the images and information provided, I can help escalate this to the appropriate department.",ai,2024-01-12T10:13:00Z,
msg_031,chat_1706040000000_jkl012,"Thank you. This is really inconvenient for my meal service.",user,2024-01-12T10:15:00Z,
msg_032,chat_1706126400000_mno345,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-11T12:00:00Z,
msg_033,chat_1706212800000_pqr678,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-10T08:00:00Z,
msg_034,chat_1706299200000_stu901,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-09T16:00:00Z,
msg_035,chat_1706385600000_vwx234,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-08T11:00:00Z,
msg_036,chat_1706472000000_yz0567,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-07T14:00:00Z,
msg_037,chat_1706558400000_abc890,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-06T07:00:00Z 
